Time_Casa,Estado_Time_Casa,Time_Visitante,Estado_Time_Visitante,Gols_Mandante,Gols_Visitante,Temporada,Rodada,Empate,Vencedor,Derrotado,Pontuacao_Casa,Pontuacao_Visitante,Num_Vitorias_Casa,Num_Derrota_Casa,Num_Empate_Casa,Num_Vitorias_Visitante,Num_Derrota_Visitante,Num_Empate_Visitante,Saldo_Mandante,Saldo_Visitante,Total_Pontos_Casa,Total_Vitorias_Casa,Total_Empates_Casa,Total_Derrotas_Casa,Total_Saldo_Casa,Total_Pontos_Visitante,Total_Vitorias_Visitante,Total_Empates_Visitante,Total_Derrotas_Visitante,Total_Saldo_Visitante
Palmeiras,SP,Athletico-PR,PR,2,0,2018,23,False,Palmeiras,Athletico-PR,3,0,1,0,0,0,1,0,2,-2,80,23,11,4,38,57,16,9,13,17
Internacional,RS,Flamengo,RJ,2,1,2018,23,False,Internacional,Flamengo,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,22,72,21,9,8,30
Atletico-MG,MG,Sao Paulo,SP,1,0,2018,23,False,Atletico-MG,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,59,17,8,13,13,63,16,15,7,12
Fluminense,RJ,Vitoria,BA,0,0,2018,23,True,None,None,1,1,0,0,1,0,0,1,0,0,45,12,9,17,-14,37,9,10,19,-27
Santos,SP,Gremio,RS,0,0,2018,23,True,None,None,1,1,0,0,1,0,0,1,0,0,50,13,11,14,6,66,18,12,8,21
America-MG,MG,Vasco da Gama,RJ,2,1,2018,23,False,America-MG,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,40,10,10,18,-17,43,10,13,15,-7
Sport,PE,Cruzeiro,MG,0,0,2018,24,True,None,None,1,1,0,0,1,0,0,1,0,0,42,11,9,18,-22,53,14,11,13,0
Sao Paulo,SP,Bahia,BA,1,0,2018,24,False,Sao Paulo,Bahia,3,0,1,0,0,0,1,0,1,-1,63,16,15,7,12,48,12,12,14,-2
Flamengo,RJ,Chapecoense,SC,2,0,2018,24,False,Flamengo,Chapecoense,3,0,1,0,0,0,1,0,2,-2,72,21,9,8,30,44,11,11,16,-16
Internacional,RS,Gremio,RS,1,0,2018,24,False,Internacional,Gremio,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,22,66,18,12,8,21
Palmeiras,SP,Corinthians,SP,1,0,2018,24,False,Palmeiras,Corinthians,3,0,1,0,0,0,1,0,1,-1,80,23,11,4,38,44,11,11,16,-1
America-MG,MG,Ceara,CE,0,0,2018,24,True,None,None,1,1,0,0,1,0,0,1,0,0,40,10,10,18,-17,44,10,14,14,-6
Fluminense,RJ,Botafogo,RJ,1,0,2018,24,False,Fluminense,Botafogo,3,0,1,0,0,0,1,0,1,-1,45,12,9,17,-14,51,13,12,13,-8
Vitoria,BA,Vasco da Gama,RJ,1,0,2018,24,False,Vitoria,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,37,9,10,19,-27,43,10,13,15,-7
Parana,PR,Santos,SP,0,2,2018,24,False,Santos,Parana,0,3,0,1,0,1,0,0,-2,2,23,4,11,23,-39,50,13,11,14,6
Atletico-MG,MG,Athletico-PR,PR,3,1,2018,24,False,Atletico-MG,Athletico-PR,3,0,1,0,0,0,1,0,2,-2,59,17,8,13,13,57,16,9,13,17
Gremio,RS,Parana,PR,2,0,2018,25,False,Gremio,Parana,3,0,1,0,0,0,1,0,2,-2,66,18,12,8,21,23,4,11,23,-39
Ceara,CE,Vitoria,BA,2,0,2018,25,False,Ceara,Vitoria,3,0,1,0,0,0,1,0,2,-2,44,10,14,14,-6,37,9,10,19,-27
Vasco da Gama,RJ,Flamengo,RJ,1,1,2018,25,True,None,None,1,1,0,0,1,0,0,1,0,0,43,10,13,15,-7,72,21,9,8,30
Botafogo,RJ,America-MG,MG,1,0,2018,25,False,Botafogo,America-MG,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,-8,40,10,10,18,-17
Santos,SP,Sao Paulo,SP,0,0,2018,25,True,None,None,1,1,0,0,1,0,0,1,0,0,50,13,11,14,6,63,16,15,7,12
Cruzeiro,MG,Atletico-MG,MG,0,0,2018,25,True,None,None,1,1,0,0,1,0,0,1,0,0,53,14,11,13,0,59,17,8,13,13
Bahia,BA,Palmeiras,SP,1,1,2018,25,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-2,80,23,11,4,38
Athletico-PR,PR,Fluminense,RJ,3,1,2018,25,False,Athletico-PR,Fluminense,3,0,1,0,0,0,1,0,2,-2,57,16,9,13,17,45,12,9,17,-14
Corinthians,SP,Sport,PE,2,1,2018,25,False,Corinthians,Sport,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-1,42,11,9,18,-22
Chapecoense,SC,Internacional,RS,2,1,2018,25,False,Chapecoense,Internacional,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-16,69,19,12,7,22
Sao Paulo,SP,America-MG,MG,1,1,2018,26,True,None,None,1,1,0,0,1,0,0,1,0,0,63,16,15,7,12,40,10,10,18,-17
Gremio,RS,Ceara,CE,3,2,2018,26,False,Gremio,Ceara,3,0,1,0,0,0,1,0,1,-1,66,18,12,8,21,44,10,14,14,-6
Flamengo,RJ,Atletico-MG,MG,2,1,2018,26,False,Flamengo,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,72,21,9,8,30,59,17,8,13,13
Athletico-PR,PR,Parana,PR,3,0,2018,26,False,Athletico-PR,Parana,3,0,1,0,0,0,1,0,3,-3,57,16,9,13,17,23,4,11,23,-39
Corinthians,SP,Internacional,RS,1,1,2018,26,True,None,None,1,1,0,0,1,0,0,1,0,0,44,11,11,16,-1,69,19,12,7,22
Vitoria,BA,Botafogo,RJ,3,4,2018,26,False,Botafogo,Vitoria,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-27,51,13,12,13,-8
Sport,PE,Palmeiras,SP,0,1,2018,26,False,Palmeiras,Sport,0,3,0,1,0,1,0,0,-1,1,42,11,9,18,-22,80,23,11,4,38
Cruzeiro,MG,Santos,SP,2,1,2018,26,False,Cruzeiro,Santos,3,0,1,0,0,0,1,0,1,-1,53,14,11,13,0,50,13,11,14,6
Chapecoense,SC,Fluminense,RJ,1,2,2018,26,False,Fluminense,Chapecoense,0,3,0,1,0,1,0,0,-1,1,44,11,11,16,-16,45,12,9,17,-14
Vasco da Gama,RJ,Bahia,BA,2,1,2018,26,False,Vasco da Gama,Bahia,3,0,1,0,0,0,1,0,1,-1,43,10,13,15,-7,48,12,12,14,-2
Fluminense,RJ,Gremio,RS,0,1,2018,27,False,Gremio,Fluminense,0,3,0,1,0,1,0,0,-1,1,45,12,9,17,-14,66,18,12,8,21
America-MG,MG,Corinthians,SP,0,0,2018,27,True,None,None,1,1,0,0,1,0,0,1,0,0,40,10,10,18,-17,44,11,11,16,-1
Bahia,BA,Flamengo,RJ,0,0,2018,27,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-2,72,21,9,8,30
Palmeiras,SP,Cruzeiro,MG,3,1,2018,27,False,Palmeiras,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,80,23,11,4,38,53,14,11,13,0
Internacional,RS,Vitoria,BA,2,1,2018,27,False,Internacional,Vitoria,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,22,37,9,10,19,-27
Atletico-MG,MG,Sport,PE,5,2,2018,27,False,Atletico-MG,Sport,3,0,1,0,0,0,1,0,3,-3,59,17,8,13,13,42,11,9,18,-22
Santos,SP,Athletico-PR,PR,1,0,2018,27,False,Santos,Athletico-PR,3,0,1,0,0,0,1,0,1,-1,50,13,11,14,6,57,16,9,13,17
Botafogo,RJ,Sao Paulo,SP,2,2,2018,27,True,None,None,1,1,0,0,1,0,0,1,0,0,51,13,12,13,-8,63,16,15,7,12
Ceara,CE,Chapecoense,SC,3,1,2018,27,False,Ceara,Chapecoense,3,0,1,0,0,0,1,0,2,-2,44,10,14,14,-6,44,11,11,16,-16
Parana,PR,Vasco da Gama,RJ,1,1,2018,27,True,None,None,1,1,0,0,1,0,0,1,0,0,23,4,11,23,-39,43,10,13,15,-7
Sport,PE,Internacional,RS,2,1,2018,28,False,Sport,Internacional,3,0,1,0,0,0,1,0,1,-1,42,11,9,18,-22,69,19,12,7,22
Corinthians,SP,Flamengo,RJ,0,3,2018,28,False,Flamengo,Corinthians,0,3,0,1,0,1,0,0,-3,3,44,11,11,16,-1,72,21,9,8,30
Vitoria,BA,Santos,SP,0,1,2018,28,False,Santos,Vitoria,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-27,50,13,11,14,6
Athletico-PR,PR,America-MG,MG,4,0,2018,28,False,Athletico-PR,America-MG,3,0,1,0,0,0,1,0,4,-4,57,16,9,13,17,40,10,10,18,-17
Chapecoense,SC,Atletico-MG,MG,1,0,2018,28,False,Chapecoense,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-16,59,17,8,13,13
Sao Paulo,SP,Palmeiras,SP,0,2,2018,28,False,Palmeiras,Sao Paulo,0,3,0,1,0,1,0,0,-2,2,63,16,15,7,12,80,23,11,4,38
Gremio,RS,Bahia,BA,2,2,2018,28,True,None,None,1,1,0,0,1,0,0,1,0,0,66,18,12,8,21,48,12,12,14,-2
Fluminense,RJ,Parana,PR,4,0,2018,28,False,Fluminense,Parana,3,0,1,0,0,0,1,0,4,-4,45,12,9,17,-14,23,4,11,23,-39
Botafogo,RJ,Vasco da Gama,RJ,1,1,2018,28,True,None,None,1,1,0,0,1,0,0,1,0,0,51,13,12,13,-8,43,10,13,15,-7
Cruzeiro,MG,Ceara,CE,0,2,2018,28,False,Ceara,Cruzeiro,0,3,0,1,0,1,0,0,-2,2,53,14,11,13,0,44,10,14,14,-6
Flamengo,RJ,Fluminense,RJ,3,0,2018,29,False,Flamengo,Fluminense,3,0,1,0,0,0,1,0,3,-3,72,21,9,8,30,45,12,9,17,-14
Santos,SP,Corinthians,SP,1,0,2018,29,False,Santos,Corinthians,3,0,1,0,0,0,1,0,1,-1,50,13,11,14,6,44,11,11,16,-1
Bahia,BA,Parana,PR,2,0,2018,29,False,Bahia,Parana,3,0,1,0,0,0,1,0,2,-2,48,12,12,14,-2,23,4,11,23,-39
Chapecoense,SC,Vitoria,BA,0,1,2018,29,False,Vitoria,Chapecoense,0,3,0,1,0,1,0,0,-1,1,44,11,11,16,-16,37,9,10,19,-27
Palmeiras,SP,Gremio,RS,2,0,2018,29,False,Palmeiras,Gremio,3,0,1,0,0,0,1,0,2,-2,80,23,11,4,38,66,18,12,8,21
Internacional,RS,Sao Paulo,SP,3,1,2018,29,False,Internacional,Sao Paulo,3,0,1,0,0,0,1,0,2,-2,69,19,12,7,22,63,16,15,7,12
Vasco da Gama,RJ,Cruzeiro,MG,2,0,2018,29,False,Vasco da Gama,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,43,10,13,15,-7,53,14,11,13,0
Athletico-PR,PR,Sport,PE,4,0,2018,29,False,Athletico-PR,Sport,3,0,1,0,0,0,1,0,4,-4,57,16,9,13,17,42,11,9,18,-22
Atletico-MG,MG,America-MG,MG,0,0,2018,29,True,None,None,1,1,0,0,1,0,0,1,0,0,59,17,8,13,13,40,10,10,18,-17
Ceara,CE,Botafogo,RJ,0,0,2018,29,True,None,None,1,1,0,0,1,0,0,1,0,0,44,10,14,14,-6,51,13,12,13,-8
Botafogo,RJ,Bahia,BA,0,1,2018,30,False,Bahia,Botafogo,0,3,0,1,0,1,0,0,-1,1,51,13,12,13,-8,48,12,12,14,-2
America-MG,MG,Gremio,RS,1,1,2018,30,True,None,None,1,1,0,0,1,0,0,1,0,0,40,10,10,18,-17,66,18,12,8,21
Sao Paulo,SP,Athletico-PR,PR,0,0,2018,30,True,None,None,1,1,0,0,1,0,0,1,0,0,63,16,15,7,12,57,16,9,13,17
Sport,PE,Vasco da Gama,RJ,2,1,2018,30,False,Sport,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,42,11,9,18,-22,43,10,13,15,-7
Vitoria,BA,Corinthians,SP,2,2,2018,30,True,None,None,1,1,0,0,1,0,0,1,0,0,37,9,10,19,-27,44,11,11,16,-1
Fluminense,RJ,Atletico-MG,MG,1,0,2018,30,False,Fluminense,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,45,12,9,17,-14,59,17,8,13,13
Palmeiras,SP,Ceara,CE,2,1,2018,30,False,Palmeiras,Ceara,3,0,1,0,0,0,1,0,1,-1,80,23,11,4,38,44,10,14,14,-6
Cruzeiro,MG,Chapecoense,SC,3,0,2018,30,False,Cruzeiro,Chapecoense,3,0,1,0,0,0,1,0,3,-3,53,14,11,13,0,44,11,11,16,-16
Parana,PR,Flamengo,RJ,0,4,2018,30,False,Flamengo,Parana,0,3,0,1,0,1,0,0,-4,4,23,4,11,23,-39,72,21,9,8,30
Internacional,RS,Santos,SP,2,2,2018,30,True,None,None,1,1,0,0,1,0,0,1,0,0,69,19,12,7,22,50,13,11,14,6
Vitoria,BA,Sao Paulo,SP,0,1,2018,31,False,Sao Paulo,Vitoria,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-27,63,16,15,7,12
Vasco da Gama,RJ,Internacional,RS,1,1,2018,31,True,None,None,1,1,0,0,1,0,0,1,0,0,43,10,13,15,-7,69,19,12,7,22
Santos,SP,Fluminense,RJ,3,0,2018,31,False,Santos,Fluminense,3,0,1,0,0,0,1,0,3,-3,50,13,11,14,6,45,12,9,17,-14
Gremio,RS,Sport,PE,3,4,2018,31,False,Sport,Gremio,0,3,0,1,0,1,0,0,-1,1,66,18,12,8,21,42,11,9,18,-22
Corinthians,SP,Bahia,BA,2,1,2018,31,False,Corinthians,Bahia,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-1,48,12,12,14,-2
Flamengo,RJ,Palmeiras,SP,1,1,2018,31,True,None,None,1,1,0,0,1,0,0,1,0,0,72,21,9,8,30,80,23,11,4,38
Chapecoense,SC,America-MG,MG,1,0,2018,31,False,Chapecoense,America-MG,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-16,40,10,10,18,-17
Cruzeiro,MG,Parana,PR,3,1,2018,31,False,Cruzeiro,Parana,3,0,1,0,0,0,1,0,2,-2,53,14,11,13,0,23,4,11,23,-39
Athletico-PR,PR,Botafogo,RJ,2,1,2018,31,False,Athletico-PR,Botafogo,3,0,1,0,0,0,1,0,1,-1,57,16,9,13,17,51,13,12,13,-8
Ceara,CE,Atletico-MG,MG,2,1,2018,31,False,Ceara,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,44,10,14,14,-6,59,17,8,13,13
Atletico-MG,MG,Gremio,RS,0,1,2018,32,False,Gremio,Atletico-MG,0,3,0,1,0,1,0,0,-1,1,59,17,8,13,13,66,18,12,8,21
Fluminense,RJ,Vasco da Gama,RJ,0,1,2018,32,False,Vasco da Gama,Fluminense,0,3,0,1,0,1,0,0,-1,1,45,12,9,17,-14,43,10,13,15,-7
Palmeiras,SP,Santos,SP,3,2,2018,32,False,Palmeiras,Santos,3,0,1,0,0,0,1,0,1,-1,80,23,11,4,38,50,13,11,14,6
Parana,PR,Vitoria,BA,1,1,2018,32,True,None,None,1,1,0,0,1,0,0,1,0,0,23,4,11,23,-39,37,9,10,19,-27
America-MG,MG,Cruzeiro,MG,1,2,2018,32,False,Cruzeiro,America-MG,0,3,0,1,0,1,0,0,-1,1,40,10,10,18,-17,53,14,11,13,0
Sao Paulo,SP,Flamengo,RJ,2,2,2018,32,True,None,None,1,1,0,0,1,0,0,1,0,0,63,16,15,7,12,72,21,9,8,30
Botafogo,RJ,Corinthians,SP,1,0,2018,32,False,Botafogo,Corinthians,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,-8,44,11,11,16,-1
Bahia,BA,Chapecoense,SC,1,0,2018,32,False,Bahia,Chapecoense,3,0,1,0,0,0,1,0,1,-1,48,12,12,14,-2,44,11,11,16,-16
Internacional,RS,Athletico-PR,PR,2,1,2018,32,False,Internacional,Athletico-PR,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,22,57,16,9,13,17
Sport,PE,Ceara,CE,1,0,2018,32,False,Sport,Ceara,3,0,1,0,0,0,1,0,1,-1,42,11,9,18,-22,44,10,14,14,-6
America-MG,MG,Parana,PR,0,1,2018,33,False,Parana,America-MG,0,3,0,1,0,1,0,0,-1,1,40,10,10,18,-17,23,4,11,23,-39
Corinthians,SP,Sao Paulo,SP,1,1,2018,33,True,None,None,1,1,0,0,1,0,0,1,0,0,44,11,11,16,-1,63,16,15,7,12
Botafogo,RJ,Flamengo,RJ,2,1,2018,33,False,Botafogo,Flamengo,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,-8,72,21,9,8,30
Athletico-PR,PR,Cruzeiro,MG,2,0,2018,33,False,Athletico-PR,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,57,16,9,13,17,53,14,11,13,0
Atletico-MG,MG,Palmeiras,SP,1,1,2018,33,True,None,None,1,1,0,0,1,0,0,1,0,0,59,17,8,13,13,80,23,11,4,38
Gremio,RS,Vasco da Gama,RJ,2,1,2018,33,False,Gremio,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,66,18,12,8,21,43,10,13,15,-7
Ceara,CE,Internacional,RS,1,1,2018,33,True,None,None,1,1,0,0,1,0,0,1,0,0,44,10,14,14,-6,69,19,12,7,22
Vitoria,BA,Bahia,BA,2,2,2018,33,True,None,None,1,1,0,0,1,0,0,1,0,0,37,9,10,19,-27,48,12,12,14,-2
Fluminense,RJ,Sport,PE,0,0,2018,33,True,None,None,1,1,0,0,1,0,0,1,0,0,45,12,9,17,-14,42,11,9,18,-22
Santos,SP,Chapecoense,SC,0,1,2018,33,False,Chapecoense,Santos,0,3,0,1,0,1,0,0,-1,1,50,13,11,14,6,44,11,11,16,-16
Vasco da Gama,RJ,Athletico-PR,PR,1,1,2018,34,True,None,None,1,1,0,0,1,0,0,1,0,0,43,10,13,15,-7,57,16,9,13,17
Parana,PR,Atletico-MG,MG,0,1,2018,34,False,Atletico-MG,Parana,0,3,0,1,0,1,0,0,-1,1,23,4,11,23,-39,59,17,8,13,13
Bahia,BA,Ceara,CE,2,1,2018,34,False,Bahia,Ceara,3,0,1,0,0,0,1,0,1,-1,48,12,12,14,-2,44,10,14,14,-6
Palmeiras,SP,Fluminense,RJ,3,0,2018,34,False,Palmeiras,Fluminense,3,0,1,0,0,0,1,0,3,-3,80,23,11,4,38,45,12,9,17,-14
Cruzeiro,MG,Corinthians,SP,1,0,2018,34,False,Cruzeiro,Corinthians,3,0,1,0,0,0,1,0,1,-1,53,14,11,13,0,44,11,11,16,-1
Sport,PE,Vitoria,BA,0,0,2018,34,True,None,None,1,1,0,0,1,0,0,1,0,0,42,11,9,18,-22,37,9,10,19,-27
Chapecoense,SC,Botafogo,RJ,0,1,2018,34,False,Botafogo,Chapecoense,0,3,0,1,0,1,0,0,-1,1,44,11,11,16,-16,51,13,12,13,-8
Flamengo,RJ,Santos,SP,3,2,2018,34,False,Flamengo,Santos,3,0,1,0,0,0,1,0,1,-1,72,21,9,8,30,50,13,11,14,6
Sao Paulo,SP,Gremio,RS,1,1,2018,34,True,None,None,1,1,0,0,1,0,0,1,0,0,63,16,15,7,12,66,18,12,8,21
Internacional,RS,America-MG,MG,2,0,2018,34,False,Internacional,America-MG,3,0,1,0,0,0,1,0,2,-2,69,19,12,7,22,40,10,10,18,-17
Vitoria,BA,Athletico-PR,PR,1,2,2018,35,False,Athletico-PR,Vitoria,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-27,57,16,9,13,17
Corinthians,SP,Vasco da Gama,RJ,1,0,2018,35,False,Corinthians,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-1,43,10,13,15,-7
Atletico-MG,MG,Bahia,BA,1,0,2018,35,False,Atletico-MG,Bahia,3,0,1,0,0,0,1,0,1,-1,59,17,8,13,13,48,12,12,14,-2
Botafogo,RJ,Internacional,RS,1,0,2018,35,False,Botafogo,Internacional,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,-8,69,19,12,7,22
Sport,PE,Flamengo,RJ,0,1,2018,35,False,Flamengo,Sport,0,3,0,1,0,1,0,0,-1,1,42,11,9,18,-22,72,21,9,8,30
America-MG,MG,Santos,SP,2,1,2018,35,False,America-MG,Santos,3,0,1,0,0,0,1,0,1,-1,40,10,10,18,-17,50,13,11,14,6
Parana,PR,Palmeiras,SP,1,1,2018,35,True,None,None,1,1,0,0,1,0,0,1,0,0,23,4,11,23,-39,80,23,11,4,38
Gremio,RS,Chapecoense,SC,2,0,2018,35,False,Gremio,Chapecoense,3,0,1,0,0,0,1,0,2,-2,66,18,12,8,21,44,11,11,16,-16
Sao Paulo,SP,Cruzeiro,MG,1,0,2018,35,False,Sao Paulo,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,63,16,15,7,12,53,14,11,13,0
Fluminense,RJ,Ceara,CE,0,0,2018,35,True,None,None,1,1,0,0,1,0,0,1,0,0,45,12,9,17,-14,44,10,14,14,-6
Internacional,RS,Atletico-MG,MG,1,2,2018,36,False,Atletico-MG,Internacional,0,3,0,1,0,1,0,0,-1,1,69,19,12,7,22,59,17,8,13,13
Santos,SP,Botafogo,RJ,1,1,2018,36,True,None,None,1,1,0,0,1,0,0,1,0,0,50,13,11,14,6,51,13,12,13,-8
Cruzeiro,MG,Vitoria,BA,3,0,2018,36,False,Cruzeiro,Vitoria,3,0,1,0,0,0,1,0,3,-3,53,14,11,13,0,37,9,10,19,-27
Athletico-PR,PR,Corinthians,SP,1,0,2018,36,False,Athletico-PR,Corinthians,3,0,1,0,0,0,1,0,1,-1,57,16,9,13,17,44,11,11,16,-1
Flamengo,RJ,Gremio,RS,2,0,2018,36,False,Flamengo,Gremio,3,0,1,0,0,0,1,0,2,-2,72,21,9,8,30,66,18,12,8,21
Palmeiras,SP,America-MG,MG,4,0,2018,36,False,Palmeiras,America-MG,3,0,1,0,0,0,1,0,4,-4,80,23,11,4,38,40,10,10,18,-17
Vasco da Gama,RJ,Sao Paulo,SP,2,0,2018,36,False,Vasco da Gama,Sao Paulo,3,0,1,0,0,0,1,0,2,-2,43,10,13,15,-7,63,16,15,7,12
Ceara,CE,Parana,PR,1,0,2018,36,False,Ceara,Parana,3,0,1,0,0,0,1,0,1,-1,44,10,14,14,-6,23,4,11,23,-39
Chapecoense,SC,Sport,PE,2,1,2018,36,False,Chapecoense,Sport,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-16,42,11,9,18,-22
Bahia,BA,Fluminense,RJ,2,0,2018,36,False,Bahia,Fluminense,3,0,1,0,0,0,1,0,2,-2,48,12,12,14,-2,45,12,9,17,-14
Santos,SP,Atletico-MG,MG,3,2,2018,37,False,Santos,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,50,13,11,14,6,59,17,8,13,13
Cruzeiro,MG,Flamengo,RJ,0,2,2018,37,False,Flamengo,Cruzeiro,0,3,0,1,0,1,0,0,-2,2,53,14,11,13,0,72,21,9,8,30
Vitoria,BA,Gremio,RS,0,0,2018,37,True,None,None,1,1,0,0,1,0,0,1,0,0,37,9,10,19,-27,66,18,12,8,21
Vasco da Gama,RJ,Palmeiras,SP,0,1,2018,37,False,Palmeiras,Vasco da Gama,0,3,0,1,0,1,0,0,-1,1,43,10,13,15,-7,80,23,11,4,38
Athletico-PR,PR,Ceara,CE,2,2,2018,37,True,None,None,1,1,0,0,1,0,0,1,0,0,57,16,9,13,17,44,10,14,14,-6
America-MG,MG,Bahia,BA,1,0,2018,37,False,America-MG,Bahia,3,0,1,0,0,0,1,0,1,-1,40,10,10,18,-17,48,12,12,14,-2
Corinthians,SP,Chapecoense,SC,0,0,2018,37,True,None,None,1,1,0,0,1,0,0,1,0,0,44,11,11,16,-1,44,11,11,16,-16
Internacional,RS,Fluminense,RJ,2,0,2018,37,False,Internacional,Fluminense,3,0,1,0,0,0,1,0,2,-2,69,19,12,7,22,45,12,9,17,-14
Sao Paulo,SP,Sport,PE,0,0,2018,37,True,None,None,1,1,0,0,1,0,0,1,0,0,63,16,15,7,12,42,11,9,18,-22
Botafogo,RJ,Parana,PR,2,1,2018,37,False,Botafogo,Parana,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,-8,23,4,11,23,-39
Atletico-MG,MG,Botafogo,RJ,1,0,2018,38,False,Atletico-MG,Botafogo,3,0,1,0,0,0,1,0,1,-1,59,17,8,13,13,51,13,12,13,-8
Flamengo,RJ,Athletico-PR,PR,1,2,2018,38,False,Athletico-PR,Flamengo,0,3,0,1,0,1,0,0,-1,1,72,21,9,8,30,57,16,9,13,17
Parana,PR,Internacional,RS,1,1,2018,38,True,None,None,1,1,0,0,1,0,0,1,0,0,23,4,11,23,-39,69,19,12,7,22
Chapecoense,SC,Sao Paulo,SP,1,0,2018,38,False,Chapecoense,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-16,63,16,15,7,12
Bahia,BA,Cruzeiro,MG,0,0,2018,38,True,None,None,1,1,0,0,1,0,0,1,0,0,48,12,12,14,-2,53,14,11,13,0
Fluminense,RJ,America-MG,MG,1,0,2018,38,False,Fluminense,America-MG,3,0,1,0,0,0,1,0,1,-1,45,12,9,17,-14,40,10,10,18,-17
Ceara,CE,Vasco da Gama,RJ,0,0,2018,38,True,None,None,1,1,0,0,1,0,0,1,0,0,44,10,14,14,-6,43,10,13,15,-7
Sport,PE,Santos,SP,2,1,2018,38,False,Sport,Santos,3,0,1,0,0,0,1,0,1,-1,42,11,9,18,-22,50,13,11,14,6
Palmeiras,SP,Vitoria,BA,3,2,2018,38,False,Palmeiras,Vitoria,3,0,1,0,0,0,1,0,1,-1,80,23,11,4,38,37,9,10,19,-27
Gremio,RS,Corinthians,SP,1,0,2018,38,False,Gremio,Corinthians,3,0,1,0,0,0,1,0,1,-1,66,18,12,8,21,44,11,11,16,-1
Sao Paulo,SP,Botafogo,RJ,2,0,2019,1,False,Sao Paulo,Botafogo,3,0,1,0,0,0,1,0,2,-2,60,16,12,10,7,43,13,4,21,-14
Atletico-MG,MG,Avai,SC,2,1,2019,1,False,Atletico-MG,Avai,3,0,1,0,0,0,1,0,1,-1,48,13,9,16,-4,20,3,11,24,-44
Chapecoense,SC,Internacional,RS,2,0,2019,1,False,Chapecoense,Internacional,3,0,1,0,0,0,1,0,2,-2,32,7,11,20,-21,60,17,9,12,7
Flamengo,RJ,Cruzeiro,MG,3,1,2019,1,False,Flamengo,Cruzeiro,3,0,1,0,0,0,1,0,2,-2,90,28,6,4,49,36,7,15,16,-19
Gremio,RS,Santos,SP,1,2,2019,1,False,Santos,Gremio,0,3,0,1,0,1,0,0,-1,1,65,19,8,11,25,74,22,8,8,27
Ceara,CE,Csa,AL,4,0,2019,1,False,Ceara,Csa,3,0,1,0,0,0,1,0,4,-4,39,10,9,19,-5,32,8,8,22,-34
Bahia,BA,Corinthians,SP,3,2,2019,1,False,Bahia,Corinthians,3,0,1,0,0,0,1,0,1,-1,49,12,13,13,1,56,14,14,10,8
Athletico-PR,PR,Vasco da Gama,RJ,4,1,2019,1,False,Athletico-PR,Vasco da Gama,3,0,1,0,0,0,1,0,3,-3,64,18,10,10,19,49,12,13,13,-6
Palmeiras,SP,Fortaleza,CE,4,0,2019,1,False,Palmeiras,Fortaleza,3,0,1,0,0,0,1,0,4,-4,74,21,11,6,29,53,15,8,15,1
Fluminense,RJ,Goias,GO,0,1,2019,1,False,Goias,Fluminense,0,3,0,1,0,1,0,0,-1,1,46,12,10,16,-8,52,15,7,16,-18
Corinthians,SP,Chapecoense,SC,1,0,2019,2,False,Corinthians,Chapecoense,3,0,1,0,0,0,1,0,1,-1,56,14,14,10,8,32,7,11,20,-21
